title,genre,director,country,year
Я люблю тебя до смерти,комедия,Лоуренс Кэздан,США,1990
Я люблю мужчину в униформе,драма,Дэвид Веллингтон,Канада,1993
Я люблю неприятности,романтическая комедия,Чарльз Шайер,США,1994
"Я люблю (фильм, 1936)",драма,Леонид Луков,СССР,
"Я люблю тебя (фильм, 1986)",драма,Марко Феррери,,1986
Я люблю Новый год,мелодрама,Радхика РаоВинай Сапру,Индия,2013
Я люблю вампира (фильм),"драма, фильм ужасов",Гжегож Вархол,Польша,1986
Я купил папу,Семейный,Илья Фрэз,СССР,1962
Я любил вас больше жизни,драма,Расим Исмайлов,СССР,1986
Я купил мотоцикл-вампир,Фильм ужасов,Дирк Кэмпбелл,Великобритания,1990
Я из Миссури,кинокомедия,Теодор Рид,США,1939
Я исповедуюсь,триллер детектив,Альфред Хичкок,США,1953 и 18 февраля 1953
"Я и ты (фильм, 2012)",драма,Бернардо Бертолуччи,Италия,2012
"Я и ты и все, кого мы знаем",драмакомедияромантический фильм,Миранда Джулай,США,2005
Я иду искать,"ужасы, чёрная комедия",Мэттью Беттинелли-ОлпинТайлер Джиллетт,США,2019
"Я и ты (фильм, 2017)",драма,Мартен Прово,Франция,2017
Я и ребёнок,комедия,Дэн Кёртис,США,1993
Я и моя совесть (фильм),психологическая драма,Яков Протазанов,Российская империя,1915
Я и Орсон Уэллс,драма,Ричард Линклейтер,,2008
Я и моя сестра,мелодрама,Карло Вердоне,Италия,1987
Я и Моника Велюр,"драма, комедия",Кит Берден,США,2010
Я и мафия,комедия,Фрэнк Рейнон,США,1994
"Я и лошадь, я и бык, я и баба, и мужик",документальный фильм,Салли Поттер,Великобритания,
Я и Катерина,комедия,Альберто Сорди,,1980
"Я знаю, что ты знаешь, что я знаю","драма, комедия",Альберто Сорди,Италия,1982
"Я знаю, что вы снимали этим летом",слэшер,Майлз Фельдман,США,2000
Я и другие,научно-популярный фильм,Феликс Соболев,СССР,1971
"Я знаю, что вы сделали прошлым летом 2",фильм ужасов и фильм-триллер,"Кейтин Робинсон, Дженнифер",США,18 июля 2025
"Я здесь (фильм, 2016)",драма,Ренарс Вимба,Латвия,2016
"Я здесь (фильм, 2010)",драмафантастика,Спайк Джонз,США,2010
"Я знаю, куда я иду!",мелодрамакомедия,Майкл Пауэлл Эмерик Прессбургер,Великобритания,1945
"Я знаю, что вы сделали прошлым летом",слэшертриллер,Джим Гиллеспи,США,1997
"Я знаю, кто убил меня",криминальный фильмтриллер,Крис Сивертсон,США,2007
Я значит Ястреб,драматический фильм,Филиппа Лоуторп,Великобритания,2025
Я закопаю тебя,комедия,Сильвестр Сбилье,,2014
Я защищал «Молодую Боснию»,судебная драмаисторический фильм,Срджан Колевич,Сербия,2014
Я живу своей жизнью,комедийная драма,В. С. Ван Дайк,США,1935
Я живу в страхе,драма,Акира Куросава,Япония,1955
Я женился на убийце с топором,комедия,Томас Шламме,США,1993
Я ждала тебя,триллер,Кристофер Лейтч,США,
